Temp_ID,Easting,Northing,Tree_Height,Crown_Diameter,Plot_Number,Date
1,476777.012,5429087.02,36.01,11.0,BR01,2026-03-09
2,476785.732,5429090.281,28.22,10.68,BR01,2026-03-09
3,476782.488,5429091.431,29.33,4.2,BR01,2026-03-09
4,476776.136,5429083.126,28.28,2.94,BR01,2026-03-09
5,476776.779,5429089.823,28.57,2.35,BR01,2026-03-09
6,476785.039,5429086.013,26.31,2.5,BR01,2026-03-09
7,476782.752,5429087.208,26.36,3.09,BR01,2026-03-09
8,476786.443,5429098.391,26.91,8.37,BR01,2026-03-09
9,476780.937,5429100.914,28.48,6.72,BR01,2026-03-09
10,476783.833,5429101.336,27.61,3.95,BR01,2026-03-09
11,476785.124,5429082.657,23.89,4.89,BR01,2026-03-09
12,476781.381,5429081.944,24.65,3.4,BR01,2026-03-09
13,476784.72,5429101.653,27.28,1.95,BR01,2026-03-09
14,476776.446,5429102.078,29.73,5.9,BR01,2026-03-09
15,476786.172,5429102.756,26.49,3.93,BR01,2026-03-09
16,476782.589,5429083.5,23.45,3.45,BR01,2026-03-09
17,476769.17,5429092.049,25.83,7.94,BR01,2026-03-09
18,476776.836,5429081.759,23.23,3.25,BR01,2026-03-09
19,476783.095,5429094.078,23.79,2.44,BR01,2026-03-09
20,476772.05,5429082.23,23.09,4.37,BR01,2026-03-09
21,476774.192,5429081.648,22.86,1.88,BR01,2026-03-09
22,476779.874,5429094.26,23.74,7.35,BR01,2026-03-09
23,476771.881,5429095.985,24.9,1.99,BR01,2026-03-09
24,476771.092,5429088.772,24.1,3.7,BR01,2026-03-09
25,476783.16,5429095.919,23.22,3.24,BR01,2026-03-09
26,476771.624,5429086.901,22.98,2.85,BR01,2026-03-09
27,476771.177,5429083.543,20.51,2.34,BR01,2026-03-09
28,476766.715,5429086.122,20.63,7.63,BR01,2026-03-09
29,476769.992,5429085.394,19.71,3.04,BR01,2026-03-09
30,476767.866,5429082.647,19.14,5.04,BR01,2026-03-09
31,476773.777,5429100.021,21.47,2.3,BR01,2026-03-09
32,476770.775,5429101.845,22.12,7.04,BR01,2026-03-09
33,476774.429,5429098.863,21.14,1.6,BR01,2026-03-09
34,476771.933,5429097.638,21.12,5.69,BR01,2026-03-09
35,476772.537,5429098.48,21.02,1.15,BR01,2026-03-09
36,476770.839,5429099.278,21.62,3.92,BR01,2026-03-09
37,476776.231,5429098.286,19.03,3.4,BR01,2026-03-09
38,476773.305,5429091.1,17.63,2.04,BR01,2026-03-09
39,476775.169,5429096.043,17.98,4.7,BR01,2026-03-09
40,476765.067,5429086.789,15.13,1.83,BR01,2026-03-09
41,476774.682,5429092.223,16.29,4.45,BR01,2026-03-09
42,476769.594,5429100.723,15.31,1.75,BR01,2026-03-09
43,476766.839,5429098.953,14.42,7.27,BR01,2026-03-09
44,476765.036,5429091.733,10.41,3.22,BR01,2026-03-09
45,476766.294,5429095.286,11.95,2.97,BR01,2026-03-09
46,476764.978,5429097.955,8.97,2.05,BR01,2026-03-09
47,476789.645,5429102.926,7.56,2.5,BR01,2026-03-09
48,476788.824,5429083.334,0.46,2.25,BR01,2026-03-09
