Temp_ID,Easting,Northing,Tree_Height,Crown_Diameter,Plot_Number,Date,Predicted_DBH
1,476776.8406123482,5429086.539103962,40.540250000000015,10.398749999701977,BR01,2026-03-01,63.91657499999994
2,476785.51401053375,5429089.645925212,33.883500000000026,10.536125000129688,BR01,2026-03-01,49.48759000000001
3,476782.689500292,5429092.041033471,33.95600000000002,5.499624999851221,BR01,2026-03-01,44.69623000000002
4,476782.4894949619,5429101.344828454,30.89025000000004,6.011874999996508,BR01,2026-03-01,42.98978499999999
5,476786.5028457808,5429099.1270264285,31.19300000000004,9.352000000013504,BR01,2026-03-01,42.51313499999995
6,476782.9908847525,5429082.639436352,30.45350000000002,8.328124999883585,BR01,2026-03-01,41.59332499999996
7,476777.0587793726,5429101.576057787,31.46350000000001,7.1257499996281695,BR01,2026-03-01,43.54375
8,476769.22704068274,5429092.341292066,28.296250000000043,9.549375000002328,BR01,2026-03-01,35.658369999999984
9,476772.98799448094,5429082.339475985,28.56400000000002,6.472125000145752,BR01,2026-03-01,33.31898500000004
10,476779.9311771271,5429094.295286435,27.730500000000006,8.09887499990873,BR01,2026-03-01,31.418554999999955
11,476771.3774487995,5429087.957652384,27.297500000000014,4.395875000191154,BR01,2026-03-01,31.693215000000013
12,476766.4555002828,5429086.021610255,23.631250000000023,6.897249999979977,BR01,2026-03-01,30.830800000000018
13,476768.41531779774,5429083.93056199,23.567000000000007,7.561374999815598,BR01,2026-03-01,30.525185000000018
14,476772.5231692392,5429099.34007763,23.42225000000002,11.499000000214435,BR01,2026-03-01,40.17930499999988
15,476774.7069094569,5429092.383788475,19.77175,4.098999999871012,BR01,2026-03-01,20.54873000000002
16,476766.5976131188,5429098.344643556,15.052500000000007,7.285124999762047,BR01,2026-03-01,18.09745999999999
